State,Complaints_Rank,Complaints,Losses_Rank,Losses_USD,Complaints_Per_100K_Rank,Complaints_Per_100K,Losses_Per_100K_Rank,Losses_Per_100K_USD
California,1,96265,1,2539041635,8,244.1,4,6439159
Texas,2,62347,2,1351598183,20,199.3,11,4319470
Florida,3,52191,3,1071909632,12,223.3,8,4586256
New York,4,36468,4,903975003,23,183.6,10,4550077
Pennsylvania,5,27838,8,400082312,14,212.8,27,3059025
Illinois,6,25446,5,479054271,17,200.2,16,3769066
Ohio,7,24915,15,278038028,16,209.7,40,2339737
Indiana,8,23659,28,125093323,3,341.7,48,1806591
North Carolina,9,22021,12,324287947,19,199.4,29,2935789
Arizona,10,20101,9,392441717,6,265.1,5,5175704
Georgia,11,19797,7,420454472,27,177.1,17,3760478
Washington,12,18009,10,368203209,11,226.3,7,4626726
Virginia,13,17466,13,317406595,21,198.2,20,3602310
Michigan,14,16302,18,241737979,35,160.8,39,2383896
New Jersey,15,15701,6,434856424,30,165.3,9,4577026
Maryland,16,14996,19,238976904,9,239.4,15,3815560
Colorado,17,14848,17,243517403,7,249.2,12,4087582
Massachusetts,18,14254,11,338872378,18,199.7,6,4748658
Tennessee,19,11411,21,190271310,37,157.9,38,2632511
Nevada,20,10716,16,268769310,4,328.0,2,8225617
Missouri,21,10028,22,183751987,35,160.6,28,2942166
South Carolina,22,9661,24,146468765,28,176.3,37,2673358
Wisconsin,23,9619,23,169942495,33,161.4,31,2850918
Minnesota,24,9264,20,203352530,36,159.9,24,3510223
Oregon,25,9011,25,144160344,15,210.9,25,3374247
Alabama,26,7840,30,103771880,41,152.0,46,2011980
Oklahoma,27,7479,29,113724886,24,182.6,33,2776898
Iowa,28,7193,36,72860333,13,221.9,42,2247743
Utah,29,6877,27,129414310,22,196.3,19,3693739
Alaska,30,6770,47,26296803,1,914.7,23,3552983
Louisiana,31,6455,32,87411457,45,140.4,47,1901183
Kentucky,32,6165,35,73919940,48,134.4,51,1611028
Connecticut,33,5695,26,143884002,38,155.0,13,3915137
Kansas,34,4797,33,80300908,32,161.5,35,2703183
Arkansas,35,4240,41,51714039,47,137.3,50,1674485
New Mexico,36,3884,34,76621670,25,182.3,21,3596829
District of Columbia,37,3856,14,291531458,2,549.1,1,41513914
Idaho,38,3081,38,63035342,39,153.9,26,3149218
Mississippi,39,3068,37,65613936,51,104.2,44,2229457
Delaware,40,2806,44,37611598,5,266.8,22,3575529
Hawaii,41,2603,39,55180901,26,180.0,14,3815721
Nebraska,42,2603,42,46730894,49,129.8,41,2330178
West Virginia,43,2594,50,24196661,43,146.6,52,1367059
New Hampshire,44,2340,40,52811455,29,166.1,18,3748066
Puerto Rico,45,2241,31,91363707,52,70.0,30,2852179
Maine,46,2137,46,31455797,40,152.1,43,2238828
Montana,47,1854,45,31603407,31,163.0,32,2778974
Rhode Island,48,1642,51,23597036,42,147.6,45,2121448
Wyoming,49,1377,43,43502744,10,234.3,3,7403235
South Dakota,50,1298,48,24957446,46,140.4,36,2699068
Vermont,51,937,52,11285112,44,144.5,49,1740206
North Dakota,52,885,53,21831953,50,111.1,34,2740752
Guam,,96,,2532544,,,
Virgin Islands U.S.,,87,,1441830,,,
U.S. Minor Outlying Islands,,170,,1107380,,,
American Samoa,,91,,195182,,,
Northern Mariana Islands,,21,,121874,,,
