TRANSACTION_ID,USER_ID,AMOUNT,CATEGORY,LOCATION,TRANSACTION_DATE
0D57D2DD85EF_011,USER_011,42.92,Jewelry,"Seattle, WA",2025-12-31T12:19:29
C8234885C5D7_029,USER_029,231.93,Electronics,"Boston, MA",2025-12-31T12:42:54
4235602A39D9_034,USER_034,119.31,Clothing,"Boston, MA",2025-12-31T13:59:58
598C336BDDCC_029,USER_029,352.94,Jewelry,"Dallas, TX",2025-12-31T14:42:08
9E90AA2D233A_012,USER_012,141.37,Gas Stations,"Dallas, TX",2025-12-31T15:34:12
4235602A39D9_014,USER_014,115.0,Clothing,"Boston, MA",2025-12-31T15:59:58
09C2E902A27A_040,USER_040,238.16,Gas Stations,"Houston, TX",2025-12-31T16:00:22
C8234885C5D7_039,USER_039,233.48,Electronics,"Boston, MA",2025-12-31T16:42:54
A2BBB17F5AE0_028,USER_028,141.5,Gas Stations,"Miami, FL",2025-12-31T16:57:30
9E90AA2D233A_032,USER_032,132.38,Gas Stations,"Dallas, TX",2025-12-31T17:34:12
909FFEFFCD81_023,USER_023,299.22,Coffee Shops,"Denver, CO",2025-12-31T17:43:21
A2BBB17F5AE0_048,USER_048,142.72,Gas Stations,"Miami, FL",2025-12-31T17:57:30
3370F2342262_039,USER_039,111.09,Electronics,"Los Angeles, CA",2025-12-31T18:23:54
3370F2342262_019,USER_019,110.75,Electronics,"Los Angeles, CA",2025-12-31T18:23:54
C8234885C5D7_049,USER_049,254.62,Electronics,"Boston, MA",2025-12-31T18:42:54
A2BBB17F5AE0_038,USER_038,139.25,Gas Stations,"Miami, FL",2025-12-31T18:57:30
4D51FE7F2789_039,USER_039,131.14,Clothing,"Denver, CO",2025-12-31T19:36:11
B888B2B0011B_024,USER_024,65.49,Retail,"Seattle, WA",2025-12-31T19:52:40
86B24D5E3A8B_028,USER_028,325.76,Coffee Shops,"Atlanta, GA",2025-12-31T20:12:51
5493A9436604_041,USER_041,101.3,Jewelry,"Miami, FL",2025-12-31T20:24:15
AFFABD495D5A_026,USER_026,152.98,Restaurants,"Miami, FL",2025-12-31T20:48:26
4235602A39D9_024,USER_024,120.75,Clothing,"Boston, MA",2025-12-31T20:59:58
7C9A2201670C_011,USER_011,311.91,Restaurants,"Houston, TX",2025-12-31T21:46:19
2CAC74C12D10_029,USER_029,75.81,Electronics,"Chicago, IL",2025-12-31T22:04:44
FDA893D2619E_018,USER_018,155.09,Gas Stations,"Atlanta, GA",2025-12-31T22:55:29
09C2E902A27A_030,USER_030,209.08,Gas Stations,"Houston, TX",2025-12-31T23:00:22
C44D5E6F94A7_047,USER_047,98.0,Grocery,"Houston, TX",2025-12-31T23:24:19
9E90AA2D233A_022,USER_022,135.58,Gas Stations,"Dallas, TX",2025-12-31T23:34:12
598C336BDDCC_019,USER_019,322.34,Jewelry,"Dallas, TX",2025-12-31T23:42:08
E4F25CE887FA_015,USER_015,136.95,Gas Stations,"Dallas, TX",2025-12-31T23:50:14
FDA893D2619E_028,USER_028,141.92,Gas Stations,"Atlanta, GA",2025-12-31T23:55:29
B053AA3454EA_022,USER_022,152.19,Coffee Shops,"Seattle, WA",2025-12-31T23:58:39
09C2E902A27A_050,USER_050,215.22,Gas Stations,"Houston, TX",2026-01-01T00:00:22
2CAC74C12D10,USER_009,77.79,Electronics,"Chicago, IL",2026-01-01T00:04:44
0D57D2DD85EF,USER_001,45.66,Jewelry,"Seattle, WA",2026-01-01T00:19:29
C44D5E6F94A7_017,USER_017,93.87,Grocery,"Houston, TX",2026-01-01T00:24:19
598C336BDDCC_039,USER_039,363.47,Jewelry,"Dallas, TX",2026-01-01T00:42:08
C8234885C5D7,USER_009,246.08,Electronics,"Boston, MA",2026-01-01T00:42:54
7C9A2201670C_041,USER_041,313.72,Restaurants,"Houston, TX",2026-01-01T00:46:19
459120482453_015,USER_015,449.66,Gas Stations,"Chicago, IL",2026-01-01T00:56:55
09C2E902A27A,USER_010,225.44,Gas Stations,"Houston, TX",2026-01-01T01:00:22
86B24D5E3A8B_048,USER_048,278.62,Coffee Shops,"Atlanta, GA",2026-01-01T01:12:51
0D57D2DD85EF_031,USER_031,44.98,Jewelry,"Seattle, WA",2026-01-01T01:19:29
9E90AA2D233A,USER_002,135.57,Gas Stations,"Dallas, TX",2026-01-01T01:34:12
B888B2B0011B_034,USER_034,60.25,Retail,"Seattle, WA",2026-01-01T01:52:40
4235602A39D9,USER_004,117.8,Clothing,"Boston, MA",2026-01-01T01:59:58
86B24D5E3A8B,USER_008,305.39,Coffee Shops,"Atlanta, GA",2026-01-01T02:12:51
C44D5E6F94A7_027,USER_027,88.63,Grocery,"Houston, TX",2026-01-01T02:24:19
598C336BDDCC,USER_009,332.01,Jewelry,"Dallas, TX",2026-01-01T02:42:08
909FFEFFCD81_033,USER_033,295.36,Coffee Shops,"Denver, CO",2026-01-01T02:43:21
909FFEFFCD81_043,USER_043,276.27,Coffee Shops,"Denver, CO",2026-01-01T02:43:21
7C9A2201670C_021,USER_021,330.4,Restaurants,"Houston, TX",2026-01-01T02:46:19
E4F25CE887FA_035,USER_035,128.7,Gas Stations,"Dallas, TX",2026-01-01T02:50:14
D3014F3CF926_045,USER_045,238.31,Electronics,"Seattle, WA",2026-01-01T02:55:44
C93259521CCF_022,USER_022,147.55,Coffee Shops,"Dallas, TX",2026-01-01T03:05:18
7421944C17FA_026,USER_026,227.93,Grocery,"Miami, FL",2026-01-01T03:13:01
909FFEFFCD81,USER_003,289.62,Coffee Shops,"Denver, CO",2026-01-01T03:43:21
BA029F6F79E5_016,USER_016,40.97,Retail,"Chicago, IL",2026-01-01T03:49:26
A2BBB17F5AE0,USER_008,146.05,Gas Stations,"Miami, FL",2026-01-01T03:57:30
09C2E902A27A_020,USER_020,203.1,Gas Stations,"Houston, TX",2026-01-01T04:00:22
3370F2342262,USER_009,107.56,Electronics,"Los Angeles, CA",2026-01-01T04:23:54
86B9B7D4C756_046,USER_046,149.33,Grocery,"Miami, FL",2026-01-01T04:39:44
598C336BDDCC_049,USER_049,314.63,Jewelry,"Dallas, TX",2026-01-01T04:42:08
711F7BCD5917_027,USER_027,332.27,Grocery,"Houston, TX",2026-01-01T04:51:26
EB6DB280CEA3_021,USER_021,31.14,Clothing,"Phoenix, AZ",2026-01-01T04:59:51
9BA4D1C44C3B_019,USER_019,49.99,Coffee Shops,"Chicago, IL",2026-01-01T05:04:03
2CAC74C12D10_049,USER_049,73.44,Electronics,"Chicago, IL",2026-01-01T05:04:44
86B24D5E3A8B_018,USER_018,318.47,Coffee Shops,"Atlanta, GA",2026-01-01T05:12:51
4D51FE7F2789_019,USER_019,127.98,Clothing,"Denver, CO",2026-01-01T05:36:11
4D51FE7F2789,USER_009,122.61,Clothing,"Denver, CO",2026-01-01T05:36:11
792C16F4D5FC_034,USER_034,109.94,Jewelry,"Seattle, WA",2026-01-01T05:41:43
D3014F3CF926_035,USER_035,244.35,Electronics,"Seattle, WA",2026-01-01T05:55:44
4235602A39D9_044,USER_044,128.33,Clothing,"Boston, MA",2026-01-01T05:59:58
2CAC74C12D10_019,USER_019,76.91,Electronics,"Chicago, IL",2026-01-01T06:04:44
9A4EEAA24FAE_018,USER_018,116.5,Coffee Shops,"San Francisco, CA",2026-01-01T06:26:56
9A4EEAA24FAE_048,USER_048,125.95,Coffee Shops,"San Francisco, CA",2026-01-01T06:26:56
86B9B7D4C756_026,USER_026,145.91,Grocery,"Miami, FL",2026-01-01T06:39:44
B888B2B0011B,USER_004,60.18,Retail,"Seattle, WA",2026-01-01T06:52:40
9BA4D1C44C3B_039,USER_039,48.11,Coffee Shops,"Chicago, IL",2026-01-01T07:04:03
86B9B7D4C756_016,USER_016,164.79,Grocery,"Miami, FL",2026-01-01T07:39:44
909FFEFFCD81_013,USER_013,265.49,Coffee Shops,"Denver, CO",2026-01-01T07:43:21
BA029F6F79E5_046,USER_046,39.65,Retail,"Chicago, IL",2026-01-01T07:49:26
B053AA3454EA_042,USER_042,152.73,Coffee Shops,"Seattle, WA",2026-01-01T07:58:39
9BA4D1C44C3B_029,USER_029,42.64,Coffee Shops,"Chicago, IL",2026-01-01T08:04:03
C93259521CCF_032,USER_032,155.12,Coffee Shops,"Dallas, TX",2026-01-01T08:05:18
5493A9436604,USER_001,102.95,Jewelry,"Miami, FL",2026-01-01T08:24:15
5493A9436604_021,USER_021,109.64,Jewelry,"Miami, FL",2026-01-01T08:24:15
792C16F4D5FC_024,USER_024,117.38,Jewelry,"Seattle, WA",2026-01-01T08:41:43
54782BB008DB,USER_006,266.15,Restaurants,"Miami, FL",2026-01-01T08:44:13
AFFABD495D5A,USER_006,162.79,Restaurants,"Miami, FL",2026-01-01T08:48:26
4531E41925A6_047,USER_047,396.98,Gas Stations,"Houston, TX",2026-01-01T08:51:06
711F7BCD5917_037,USER_037,338.8,Grocery,"Houston, TX",2026-01-01T08:51:26
07A443C882A8_048,USER_048,362.49,Gas Stations,"San Francisco, CA",2026-01-01T08:52:13
EB6DB280CEA3_031,USER_031,26.65,Clothing,"Phoenix, AZ",2026-01-01T08:59:51
13A9F4EC1C11,USER_008,115.19,Jewelry,"Miami, FL",2026-01-01T09:29:33
792C16F4D5FC_014,USER_014,120.84,Jewelry,"Seattle, WA",2026-01-01T09:41:43
C8234885C5D7_019,USER_019,236.68,Electronics,"Boston, MA",2026-01-01T09:42:54
7C9A2201670C,USER_001,303.36,Restaurants,"Houston, TX",2026-01-01T09:46:19
B888B2B0011B_014,USER_014,59.7,Retail,"Seattle, WA",2026-01-01T09:52:40
EB6DB280CEA3_011,USER_011,30.18,Clothing,"Phoenix, AZ",2026-01-01T09:59:51
2CAC74C12D10_039,USER_039,72.58,Electronics,"Chicago, IL",2026-01-01T10:04:44
7421944C17FA_046,USER_046,256.5,Grocery,"Miami, FL",2026-01-01T10:13:01
C44D5E6F94A7,USER_007,94.34,Grocery,"Houston, TX",2026-01-01T10:24:19
4D51FE7F2789_029,USER_029,114.14,Clothing,"Denver, CO",2026-01-01T10:36:11
07A443C882A8_028,USER_028,407.31,Gas Stations,"San Francisco, CA",2026-01-01T10:52:13
FDA893D2619E,USER_008,149.96,Gas Stations,"Atlanta, GA",2026-01-01T10:55:29
A2BBB17F5AE0_018,USER_018,154.74,Gas Stations,"Miami, FL",2026-01-01T10:57:30
B053AA3454EA,USER_002,164.07,Coffee Shops,"Seattle, WA",2026-01-01T10:58:39
A94D4440F2DF_027,USER_027,407.68,Jewelry,"Chicago, IL",2026-01-01T11:03:45
75224CD6B16C_019,USER_019,199.73,Coffee Shops,"Chicago, IL",2026-01-01T11:11:54
0D57D2DD85EF_021,USER_021,49.79,Jewelry,"Seattle, WA",2026-01-01T11:19:29
0D57D2DD85EF_041,USER_041,43.3,Jewelry,"Seattle, WA",2026-01-01T11:19:29
3370F2342262_029,USER_029,109.34,Electronics,"Los Angeles, CA",2026-01-01T11:23:54
9A4EEAA24FAE,USER_008,125.69,Coffee Shops,"San Francisco, CA",2026-01-01T11:26:56
9E90AA2D233A_042,USER_042,127.76,Gas Stations,"Dallas, TX",2026-01-01T11:34:12
A5C8EA2FF81F_012,USER_012,129.57,Electronics,"Dallas, TX",2026-01-01T11:35:26
4D51FE7F2789_049,USER_049,124.51,Clothing,"Denver, CO",2026-01-01T11:36:11
792C16F4D5FC_044,USER_044,111.88,Jewelry,"Seattle, WA",2026-01-01T11:41:43
BA029F6F79E5,USER_006,37.53,Retail,"Chicago, IL",2026-01-01T11:49:26
E4F25CE887FA_045,USER_045,142.49,Gas Stations,"Dallas, TX",2026-01-01T11:50:14
E4F25CE887FA,USER_005,134.79,Gas Stations,"Dallas, TX",2026-01-01T11:50:14
FDA893D2619E_048,USER_048,162.42,Gas Stations,"Atlanta, GA",2026-01-01T11:55:29
459120482453,USER_005,463.75,Gas Stations,"Chicago, IL",2026-01-01T11:56:55
A94D4440F2DF_047,USER_047,411.22,Jewelry,"Chicago, IL",2026-01-01T12:03:45
98228A8B6A4B_047,USER_047,602.48,Grocery,"Atlanta, GA",2026-01-01T12:03:52
86B24D5E3A8B_038,USER_038,309.06,Coffee Shops,"Atlanta, GA",2026-01-01T12:12:51
3370F2342262_049,USER_049,113.75,Electronics,"Los Angeles, CA",2026-01-01T12:23:54
5493A9436604_011,USER_011,108.8,Jewelry,"Miami, FL",2026-01-01T12:24:15
98B21D195B40_050,USER_050,99.04,Jewelry,"San Francisco, CA",2026-01-01T12:27:51
AFFABD495D5A_046,USER_046,165.12,Restaurants,"Miami, FL",2026-01-01T12:48:26
4531E41925A6_027,USER_027,420.02,Gas Stations,"Houston, TX",2026-01-01T12:51:06
711F7BCD5917,USER_007,309.77,Grocery,"Houston, TX",2026-01-01T12:51:26
FDA893D2619E_038,USER_038,159.2,Gas Stations,"Atlanta, GA",2026-01-01T12:55:29
459120482453_025,USER_025,476.9,Gas Stations,"Chicago, IL",2026-01-01T12:56:55
C93259521CCF,USER_002,149.72,Coffee Shops,"Dallas, TX",2026-01-01T13:05:18
75224CD6B16C_049,USER_049,192.55,Coffee Shops,"Chicago, IL",2026-01-01T13:11:54
7421944C17FA,USER_006,241.39,Grocery,"Miami, FL",2026-01-01T13:13:01
52E897FE32A8_019,USER_019,117.7,Electronics,"Boston, MA",2026-01-01T13:26:30
