Crime_Type,Metric,Under_20,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_Plus
Advanced Fee,Count,220,971,1102,968,1009,
Advanced Fee,Loss_USD,289546,4479321,9638362,16770456,12970490,
Business Email Compromise,Count,90,800,2058,2934,3047,
Business Email Compromise,Loss_USD,11067986,30611039,207186022,302370195,361651832,
Botnet,Count,74,99,79,55,42,
Botnet,Loss_USD,60,30718,2691,17303168,2001,
Confidence/Romance,Count,272,1219,1814,2056,2365,
Confidence/Romance,Loss_USD,759616,11016901,31008972,46027157,82466829,
Credit Card/Check Fraud,Count,295,1206,1690,1641,1642,
Credit Card/Check Fraud,Loss_USD,687043,4581387,9861167,25602871,21660432,
Crimes Against Children,Count,1367,140,73,58,28,
Crimes Against Children,Loss_USD,95862,4292,45366,29655,499469,
Data Breach,Count,33,147,358,523,402,
Data Breach,Loss_USD,970279,3251108,64898844,43983317,15586514,
Employment,Count,604,3674,2916,2003,1516,
Employment,Loss_USD,1971457,13138194,15419807,9874429,10102359,
Extortion,Count,6540,13811,6180,4305,3620,
Extortion,Loss_USD,2080479,11799104,8777342,8984024,7784643,
Government Impersonation,Count,161,1462,1894,1818,1711,
Government Impersonation,Loss_USD,2008033,34354239,30281258,20880418,18727179,
Harassment/Stalking,Count,548,1667,1998,1619,990,
Harassment/Stalking,Loss_USD,51719,676809,2185563,2699273,649797,
Identity Theft,Count,288,1922,3550,3163,2688,
Identity Theft,Loss_USD,269690,4522239,13036661,17427975,12879363,
Investment,Count,399,3453,6822,6873,5797,
Investment,Loss_USD,13571240,154183205,540646646,616072673,871842750,
IPR/Copyright and Counterfeit,Count,24,146,216,198,168,
IPR/Copyright and Counterfeit,Loss_USD,4302,61107,780863,1662760,2851670,
Lottery/Sweepstakes/Inheritance,Count,31,168,298,343,708,
Lottery/Sweepstakes/Inheritance,Loss_USD,28558,732222,2118356,3512077,3856993,
Malware,Count,47,86,113,89,66,
Malware,Loss_USD,18056,43693,59168,202908,135302,
Non-Payment/Non-Delivery,Count,1691,7644,8436,7466,5848,
Non-Payment/Non-Delivery,Loss_USD,1578742,19895195,40383092,54348415,49535571,
Other,Count,318,883,1375,1187,909,
Other,Loss_USD,1366980,11369781,22380525,15665583,16411270,
Overpayment,Count,314,776,507,456,449,
Overpayment,Loss_USD,1006792,2055986,2799535,2737512,2570057,
Personal Data Breach,Count,1335,6312,10756,9870,7008,
Personal Data Breach,Loss_USD,635038,20180645,115301927,224444555,108826649,
Phishing/Spoofing,Count,203,1088,1532,1701,2060,
Phishing/Spoofing,Loss_USD,35368,1229413,2726832,2612598,2751552,
Ransomware,Count,12,62,120,211,253,
Ransomware,Loss_USD,0,12548,37660,187680,517222,
Real Estate,Count,150,1749,1407,1088,1011,
Real Estate,Loss_USD,413752,4784750,6623054,9331733,22466504,
SIM Swap,Count,7,58,185,213,172,
SIM Swap,Loss_USD,0,800617,6752902,6250788,5080192,
Tech Support,Count,279,1928,2537,2794,3584,
Tech Support,Loss_USD,1007672,14019656,25573715,48163755,48548923,
Threats of Violence,Count,118,254,326,249,168,
Threats of Violence,Loss_USD,4181,7908,6063974,65817,331395,
Cryptocurrency (Descriptor),Count,858,6277,10885,10338,8953,
Cryptocurrency (Descriptor),Loss_USD,14745598,169240044,695761773,851201069,904569789,
Age Group Summary,Complaints,17993,71399,108899,112755,84540,147127
Age Group Summary,Losses_USD,22500000,540100000,1400000000,2200000000,2500000000,4800000000
