Crime_Type,Count_2024,Loss_USD_2024
Phishing/Spoofing,23252,20202521
Tech Support,16777,982440006
Extortion,12618,24901693
Personal Data Breach,9827,254187196
Investment,9448,1834242515
Non-Payment/Non-Delivery,7646,76794753
Confidence/Romance,7626,389312356
Government Impersonation,4521,208096366
Identity Theft,4064,28463106
Business Email Compromise,3300,385001099
Credit Card/Check Fraud,3226,33813267
Other,2017,111300637
Employment,1928,37882347
Advanced Fee,1897,41622868
Real Estate,1765,76324236
Lottery/Sweepstakes/Inheritance,1711,75897926
Harassment/Stalking,696,713693
Overpayment,527,5900921
Data Breach,300,28546213
Ransomware,208,43199
SIM Swap,205,6342329
IPR/Copyright and Counterfeit,163,1076710
Threats of Violence,111,300488
Malware,45,187911
Crimes Against Children,25,231600
Botnet,23,14852
Cryptocurrency (Descriptor),33369,2839333197
Elder Fraud Summary - 2024 Key Stats,Value,Notes
Total Complaints,147127,46% increase from 2023
Total Losses USD,4885000000,43% increase from 2023
Average Loss USD,83000,Per complainant
Complainants Lost Over 100K,7500,
